序号,文件命名,歌手,歌曲名,错误答案1,错误答案2,错误答案3,曲风,语种,年龄层,所属专场,难意程度,是否高潮,QQ音乐版权（0/1）
900,杨胖雨 - 情深深雨濛濛.2.mp3,杨胖雨,情深深雨濛濛,吆不到台,孽海记,慢慢喜欢你,流行热,中文,00后90后,单人闯关,P0,是,
901,BY2 - 爱丫爱丫.2.mp3,BY2,爱丫爱丫,问落花,新不了情,夏天多好,流行热,中文,00后90后,单人闯关,P0,是,
902,G2er - 还有我.2.mp3,G2er,还有我,窃爱,小情歌,櫻吹雪,流行热,中文,00后90后,单人闯关,P0,是,
903,胡歌 - 美丽的梭罗河.3.mp3,胡歌,美丽的梭罗河,手语,没有什么不同,牧马城市,流行热,中文,00后90后,单人闯关,P0,是,
904,曲肖冰 - 太阳.2.mp3,曲肖冰,太阳,困兽之斗,你就不要想起我,拜拜,流行热,中文,00后90后,单人闯关,P0,是,
905,飞儿乐团 - Lydia.2.mp3,飞儿乐团,Lydia,Keep Up,Bon Appétit,Somebody,流行热,英文,00后90后,单人闯关,P0,是,
906,杨千嬅 - 少女的祈祷.2.mp3,杨千嬅,少女的祈祷,百鬼阴阳抄,成都,她的睫毛,流行热,中文,00后90后,单人闯关,P0,是,
907,音阙诗听 _ 锦零 - 空山新雨后.2.mp3,锦零,空山新雨后,不分手的恋爱,再见 你好,我的秘密,流行热,中文,00后90后,单人闯关,P0,是,
908,冷火 - 如果，可以.2.mp3,冷火,如果 可以,BAD GUY,你好,爱的期限,流行热,中文,00后90后,单人闯关,P0,是,
909,陈雪凝 - 绿色.2.mp3,陈雪凝,绿色,那个男人,老男孩,背过手,流行热,中文,00后90后,单人闯关,P0,是,
910,林隆璇 _ 李圣杰 - 你那么爱她.2.mp3,林隆璇,你那么爱她,济南济南,老古董,爱情惹的祸,流行热,中文,00后90后,单人闯关,P0,是,
911,叶筱萱 _ 亚喃 - 不爱我就别伤害我.2.mp3,亚喃,不爱我就别伤害我,生而为赢,七号公园,北方,流行热,中文,00后90后,单人闯关,P0,是,
912,葛东琪 - 悬溺.3.mp3,葛东琪,悬溺,年少有为,细说往事,多年以后,流行热,中文,00后90后,单人闯关,P0,是,
913,阿悠悠 - 念旧.2.mp3,阿悠悠,念旧,那一夜,半城烟沙,济南济南,流行热,中文,00后90后,单人闯关,P0,是,
914,虎二 - 你一定要幸福.2.mp3,虎二,你一定要幸福,当我寂寞的时候,湖光,云水谣,流行热,中文,00后90后,单人闯关,P0,是,
915,易烊千玺 - 念想.2.mp3,易烊千玺,念想,免费教学录影带,天亮就飞吧,悄悄,流行热,中文,00后90后,单人闯关,P0,是,
916,英雄联盟 _ 田小娟 - GIANTS.2.mp3,田小娟,GIANTS,Coming Down,Bloodstream,Wide Awake,流行热,英文,00后90后,单人闯关,P0,是,
917,Imagine Dragons - Natural.2.mp3,Imagine Dragons,Natural,Good Mourning,Aloha Heia He,Sick Boy,流行热,英文,00后90后,单人闯关,P0,是,
918,凤凰传奇 - 奢香夫人.2.mp3,凤凰传奇,奢香夫人,星晴,琵琶语,灿烂,流行热,中文,00后90后,单人闯关,P0,是,
919,周杰伦 - 给我一首歌的时间.2.mp3,周杰伦,给我一首歌的时间,平凡之路,独白心声,小女王,流行热,中文,00后90后,单人闯关,P0,是,
920,Ava Max - Sweet but Psycho.2.mp3,Ava Max,Sweet but Psycho,Ghost,Castle,Shivers,流行热,英文,00后90后,单人闯关,P0,是,
921,肖战 _ 宋祖儿 - 最好的夏天.2.mp3,肖战,最好的夏天,英雄,故乡,亲爱的你,流行热,中文,00后90后,单人闯关,P0,是,
