序号,文件命名,歌手,歌曲名,错误答案1,错误答案2,错误答案3,曲风,语种,年龄层,所属题库,难意程度(0/1),是否高潮,QQ音乐版权（0/1）,类型,问题
1,F.I.R. - 你的微笑.m4a,F.I.R.,你的微笑,月牙湾,我们的爱,千年之恋,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
2,A-Lin - 未单身.m4a,A-Lin,未单身,单身情歌,可惜不是你,有一种悲伤,流行,中文,80后｜90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
3,Adele - Someone Like You.m4a,Adele,Someone Like You,Grenade,Stay,New Americana,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
4,Beyoncé - Single Ladies.m4a,Beyoncé,Single Ladies,Halo,If I were a boy,Listen,流行,英文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
5,Alan Walker - The Spectre.m4a,Alan Walker,The Spectre,Company,All We Know,Long Live,EDM,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
6,"Alan Walker,Iselin Solheim - Faded.m4a",Alan Walker,Faded,Aloha Heia He,Family Affair,E.T.,EDM,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
7,"Alan Walker,Noah Cyrus,Digital Farm Animals - All Falls Down.m4a",Alan Walker,All Falls Down,Now Or Never,Tiger Dreams,Good Mourning,EDM,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
8,"Alex Goot,Chrissy Costanza,Kurt Hugo Schneider - Counting Stars.m4a",Chrissy Costanza,Counting Stars,Strange Love,The Climb,Waterbed,流行,英文,90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
9,GALA - 追梦赤子心.m4a,GALA,追梦赤子心,Young for you,北戴河之歌,你,流行,中文,80后｜90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
10,Anne-Marie - 2002.m4a,Anne Marie,2002,1 Sun,Hold Tight,Good Intentions,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
11,"Avicii,Martin Garrix,Simon Aldred - Waiting For Love.m4a",Avicii,Waiting For Love,Color,Shivers,Sick Boy,EDM,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
12,Jean Roch - Can You Feel It.m4a,Jean Roch,Can You Feel It,Hand Clap,Boom Boom,How Do I Live,流行,英文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
